reg_id,Nb de Commerce,Nb Industries des biens intermédiaires,Valeur ajoutée régionale,Nb de Services aux particuliers,"Nb institution de Education, santé, action sociale, administration",PIB Régionnal,Moyenne Revenus Fiscaux Régionaux
11.0,28477.0,10383.0,261877.286917,19139.0,39842.0,500839.0,8805.0
21.0,2004.0,2230.0,19749.437985999997,542.0,3832.0,35310.0,10046.0
22.0,2575.0,3268.0,24429.003213,776.0,4618.0,42778.0,9716.0
23.0,2651.0,2741.0,25639.118193,775.0,4609.0,46853.0,11150.0
24.0,3652.0,2916.0,34878.305122,1226.0,6903.0,63457.0,11231.0
25.0,2050.0,1140.0,18402.701193,779.0,4162.0,34063.0,9929.0
26.0,2517.0,2576.0,22655.689005,873.0,4560.0,40484.0,10836.0
31.0,6056.0,6310.0,49305.171355000006,1376.0,10702.0,90841.0,9097.0
41.0,3333.0,3918.0,30848.563715,925.0,7021.0,55218.0,7748.0
42.0,2955.0,2752.0,26472.268547,851.0,4856.0,48389.0,11968.0
43.0,1383.0,1534.0,15211.41284,437.0,2988.0,28090.0,10813.0
52.0,4858.0,2738.0,41358.923311,1666.0,8123.0,89529.0,11270.0
53.0,4170.0,1393.0,35552.013704,1639.0,8934.0,78034.0,12338.0
54.0,2425.0,1337.0,20389.521528,850.0,4406.0,40984.0,8625.0
72.0,4876.0,2051.0,38930.865306,1552.0,8683.0,79920.0,10566.0
73.0,3711.0,1935.0,33631.550253,1222.0,7638.0,71295.0,11252.0
74.0,1072.0,832.0,9449.459418,383.0,2215.0,17089.0,10151.0
82.0,9350.0,9364.0,86957.458359,3372.0,15105.0,173681.0,10458.0
83.0,1721.0,2173.0,17637.227983,665.0,3907.0,31630.0,9956.0
91.0,3125.0,922.0,26439.684534000004,1003.0,5986.0,57350.0,10369.0
93.0,7609.0,2892.0,62711.263769,3241.0,14267.0,130177.0,9262.0
94.0,342.0,30.0,3021.411002,187.0,828.0,6358.0,10943.0
